"Name","Address","Description","Latitude","Longitude"
"Capacity","6665 Delmar Blvd, University City, MO 63130, USA","Capacity is a new kind of helpdesk, powered by artificial intelligence, that automates support for your customers and employees. The Capacity AI continuously learns from organizational knowledge and the interactions within your business to automate processes and decisions.&nbsp;Founded in 2017 by David Karandish and Chris Sims, the former co-founders of one of the original unicorn startups Answers.com, this hot new AI startup is one to watch.<br>",38.6564373,-90.3075913
"Accelerate Wind","911 Washington Ave, St. Louis, Missouri 63101, USA","<p>Accelerate Wind is an early-stage startup that is working to revolutionize rooftop wind energy in the commercial and industrial spaces by drastically lowering the cost of small wind turbine technologies.</p><p>While solar energy is common on commercial building rooftops, rooftop wind energy generation is rarely seen. Current solutions are not affordable, with long payback times and questionable reliability. Accelerate Wind is changing this with a patent-pending wind turbine technology that has been built and tested alongside scientists at the DOE’s Argonne National Laboratory.</p>",38.6313709,-90.1932113
"Ag Innovation Showcase","Danforth Plant Science Center, North Warson Road, Olivette, MO, USA","Ag Showcase provides an intimate venue  for industry leaders, investors, and entrepreneurs to form relationships and engage in substantive  discussions that will  enable  innovative solutions coming to market for consumer, social, commercial, and environmental benefit.<br>",38.674333,-90.3971893
"National Geospatial-Intelligence Agency (NGA)","3200 S 2nd St, St. Louis, MO 63118, USA","<p>The National Geospatial-Intelligence Agency is a combat support agency under the United States Department of Defense and a member of the United States Intelligence Community, with the primary mission of collecting, analyzing, and distributing geospatial intelligence in support of national security. A unique combination of intelligence agency and combat support agency, NGA is the world leader in timely, relevant, accurate and actionable GEOINT.</p><p>The National Geospatial-Intelligence Agency (NGA) delivers world-class geospatial intelligence that provides a decisive advantage to policymakers, military service members, intelligence professionals and first responders. NGA enables the U.S. intelligence community and the Department of Defense (DOD) to fulfill the president’s national security priorities to protect the nation. NGA also anticipates its partners’ future needs and advances the GEOINT discipline to meet them.</p>",38.5918858,-90.209063
"Rise Collaborative Workspace","8820 Ladue Road, St. Louis, MO, United States","<p>RISE Collaborative Workspace is a female-focused co-working space located in the Ladue-Clayton corridor. More than a convenient, professional and well-equipped coworking facilities and office space, RISE Collaborative Workspace meets the unique needs of businesswomen by enabling its members to engage with the curated community of fellow members and advance themselves both professionally and personally through collaboration and educational programming.</p>",38.6529951,-90.3497942
"Spark St. Louis","6 Cardinal Way, Suite 900, SAINT LOUIS, MO 63118 United States","The Spark STL coworking community supports the thriving St. Louis entrepreneurial ecosystem, placing members within close proximity to hundreds of successful businesses, dining &amp; entertainment options and cultural experiences within Ballpark Village and downtown St. Louis.&nbsp;<span style=""color: inherit;"">Located in the PwC Pennant Building, Spark STL offers an innovated approach to city life where you can live, work, and watch the Cardinals play all within one district.</span>",38.6248782,-90.193645
"Kwema","911 Washington Ave, St. Louis, MO 63101, USA","<p>Kwema mitigates the safety risks that employees face by providing wearables that activate an emergency protocol. The wearable technology is designed to avoid adoption hurdles and training costs by being placed in something employees already wear.</p>",38.6313709,-90.1932113
"AgIdea","26404 245th Rd, Marshall, Missouri 65340, USA","<br>",39.1445395,-93.1852414
"Kaiima","1100 Corporate Square Drive, St. Louis, MO 63132, USA","<p>Kaiima is a plant genetics and breeding technology company that focuses on development of elite castor bean hybrids for the global market. Kaiima’s castor breeding program optimizes hybrid varieties to the target markets with a focus on turning castor cultivation to a modernized sustainable field-crop.<br></p>",38.6776919,-90.4005912
"Spirit of St. Louis Fund","St. Louis Regional Chamber, One Metropolitan Square, St. Louis, MO 63102, USA","<p>The St. Louis Regional Chamber created the Spirit of St. Louis Fund which makes seed stage investments in a broad spectrum of tech startups including financial technology (FinTech), healthcare, and agriculture technology (AgTech) that are active in St. Louis or in the greater Midwest.</p><p>The Spirit of St. Louis Fund aims to help successful early-stage companies survive a key-growth stage in the lifecycle of a startup: “the Valley of Death.” Initial investments are typically around $250,000 with opportunities for follow-on investment.</p>",38.6275525,-90.1900027
"CoverCress","Danforth Plant Science Center, North Warson Road, Olivette, MO, USA","<p>Agrela Ecosystems is a precision agricultural technology company, producing the PheNode, a solar powered, cloud connected, smart field sensor system which will help farmers and researchers to make informed, real time decisions in order to improve their crops and save money.</p>",38.674333,-90.3971893
"Crusonia on the Delta","iSelect Fund, Duncan Avenue, St. Louis, MO, USA","<p>Formerly known as Davos on the Delta, this AgTech conference is now Crusonia on the Delta. A Crusonia is a mythical plant named for its discoveries. The plant was capable of providing bountiful, accessible and sustainable nutrition provided it was cared for, nurtured and cultivated. The unwritten story of the Crusonia is the perfect metaphor for the solutions explored at this AgTech conference supported by iSelect Fund in St. Louis and held annually in Memphis, TN.<br></p>",38.6346357,-90.2513341
"Lean Media","100 Chesterfield Business Parkway, Chesterfield, MO 63005, USA","Lean Media is the first programmatic digital media platform dedicated to bringing agribusiness brands and organizations closer to farmers online.<br><p></p>",38.6675074,-90.619
"Nanoguard Technologies","1100 Corporate Square Dr, Saint Louis, Missouri 63132, USA","Nanoguard Technologies was founded in 2014 with a simple but ambitious mission: To prevent unnecessary food waste and protect the world from illness-causing pathogens. An accomplished company that combines more than 100 years of collective experience in science, engineering, and business Nanoguard Technologies raised $5MM in Series A funding and earned a $600,000 SBIR phase II grant from the U.S. Department of Agriculture in 2019.<br>",38.6776919,-90.4005912
"Healium","1601 South Providence Road, Columbia, MO, USA","<p>StoryUP, the makers of Healium XR, is an award-winning neuro-immersive media company creating data-driven virtual augmented reality products for stress management. Their XR kits are powered by story and the user’s own biometrics via their wearables.</p><p>Healium is the world’s first virtual and augmented reality platform powered by consumer wearables. Its mental fitness products are used worldwide in areas of situational stress, with mental health professionals, athletes, and in fitness centers and spas.</p>",38.9310337,-92.3388751
